feature,mean_abs_shap,share
missingindicator_num_actv_bc_tl,0.0,0.0
missingindicator_num_accts_ever_120_pd,0.0,0.0
missingindicator_mths_since_recent_bc,0.0,0.0
missingindicator_num_op_rev_tl,0.0,0.0
missingindicator_percent_bc_gt_75,0.0,0.0
missingindicator_pct_tl_nvr_dlq,0.0,0.0
missingindicator_num_tl_op_past_12m,0.0,0.0
missingindicator_num_tl_90g_dpd_24m,0.0,0.0
missingindicator_num_sats,0.0,0.0
missingindicator_num_rev_tl_bal_gt_0,0.0,0.0
missingindicator_num_rev_accts,0.0,0.0
missingindicator_bc_open_to_buy,0.0,0.0
missingindicator_pub_rec,0.0,0.0
missingindicator_avg_cur_bal,0.0,0.0
missingindicator_acc_open_past_24mths,0.0,0.0
missingindicator_collections_12_mths_ex_med,0.0,0.0
missingindicator_open_acc,0.0,0.0
missingindicator_pub_rec_bankruptcies,0.0,0.0
missingindicator_delinq_2yrs,0.0,0.0
missingindicator_inq_last_6mths,0.0,0.0
missingindicator_loan_amnt,0.0,0.0
missingindicator_installment_to_income,0.0,0.0
missingindicator_sub_grade_ord,0.0,0.0
missingindicator_grade_ord,0.0,0.0
missingindicator_revol_util,0.0,0.0
missingindicator_revol_bal_to_income,0.0,0.0
missingindicator_credit_history_months,0.0,0.0
missingindicator_revol_bal,0.0,0.0
missingindicator_log_annual_inc,0.0,0.0
missingindicator_term_months,0.0,0.0
missingindicator_fico,0.0,0.0
missingindicator_dti,0.0,0.0
missingindicator_loan_to_income,0.0,0.0
missingindicator_installment,0.0,0.0
missingindicator_int_rate,0.0,0.0
missingindicator_mort_acc,0.0,0.0
missingindicator_total_acc,0.0,0.0
missingindicator_mo_sin_rcnt_tl,0.0,0.0
missingindicator_mo_sin_rcnt_rev_tl_op,0.0,0.0
missingindicator_mo_sin_old_rev_tl_op,0.0,0.0
missingindicator_delinq_amnt,0.0,0.0
missingindicator_chargeoff_within_12_mths,0.0,0.0
missingindicator_bc_util,0.0,0.0
home_ownership_infrequent_sklearn,0.0,0.0
missingindicator_total_rev_hi_lim,0.0,0.0
missingindicator_total_il_high_credit_limit,0.0,0.0
missingindicator_total_bc_limit,0.0,0.0
missingindicator_total_bal_ex_mort,0.0,0.0
missingindicator_tot_cur_bal,0.0,0.0
missingindicator_tot_hi_cred_lim,0.0,0.0
missingindicator_tax_liens,0.0,0.0
application_type_Individual,0.0,0.0
